1,1.4643,1
2,15.255,1
3,79.067,1
4,268.95,1
5,670.77,1
6,1306.6,1
7,2074.1,1
8,2754.9,1
9,3082.9,1
10,2824.7,1
11,1841.8,1
12,121.49,1
13,-2222.3,1
14,-4973.6,1
15,-7855.2,1
16,-10575,1
17,-12868,1
18,-14534,1
19,-15453,1
20,-15595,1
21,-15012,1
22,-13825,1
23,-12197,1
24,-10315,1
25,-8362.4,1
26,-6497.5,1
27,-4843,1
28,-3476.4,1
29,-2429.1,1
30,-1691.4,1
31,-1220.7,1
32,-953.35,1
33,-815.95,1
34,-736.21,1
35,-651.5,1
36,-514.68,1
37,-296.88,1
38,12.516,1
39,408.07,1
40,872.1,1
41,1379.3,1
42,1901.3,1
43,2411.2,1
44,2886.2,1
45,3310.1,1
46,3674,1
47,3975.8,1
48,4219.7,1
49,4414.3,1
50,4570.7,1
51,4700.9,1
52,4816,1
53,4925.2,1
54,5034.8,1
55,5148.5,1
56,5266.8,1
57,5388.3,1
58,5509.7,1
59,5626.8,1
60,5735.6,1
61,5832.2,1
62,5913.7,1
63,5978.3,1
64,6025.2,1
65,6054.7,1
66,6068.1,1
67,6067,1
68,6053.7,1
69,6030.2,1
70,5998.7,1
71,5960.5,1
72,5916.8,1
73,5868.5,1
74,5815.8,1
75,5759.1,1
76,5698.3,1
77,5633.6,1
78,5564.9,1
79,5492.2,1
80,5415.6,1
81,5335,1
82,5250.4,1
83,5161.8,1
84,5068.9,1
85,4971.9,1
86,4870.7,1
87,4765.6,1
88,4656.9,1
89,4545,1
90,4430.2,1
91,4313,1
92,4193.5,1
93,4071.9,1
94,3948.3,1
95,3822.8,1
96,3695.9,1
97,3567.7,1
98,3438.4,1
99,3308.2,1
100,3177.2,1
101,3045.2,1
102,2912.3,1
103,2778.4,1
104,2643.3,1
105,2506.9,1
106,2369.3,1
107,2230.4,1
108,2090.4,1
109,1949.6,1
110,1808.3,1
111,1666.9,1
112,1526,1
113,1386.2,1
114,1248,1
115,1111.7,1
116,977.47,1
117,845.39,1
118,715.37,1
119,587.23,1
120,460.75,1
121,335.64,1
122,211.61,1
123,88.393,1
124,-34.165,1
125,-156.14,1
126,-277.52,1
127,-398.2,1
128,-517.96,1
129,-636.51,1
130,-753.49,1
131,-868.56,1
132,-981.44,1
133,-1091.9,1
134,-1199.9,1
135,-1305.5,1
136,-1408.6,1
137,-1509.5,1
138,-1608.2,1
139,-1704.8,1
140,-1799.4,1
141,-1892.1,1
142,-1982.8,1
143,-2071.4,1
144,-2157.8,1
145,-2241.9,1
146,-2323.6,1
147,-2402.6,1
148,-2478.9,1
149,-2552.4,1
150,-2623.1,1
151,-2691.3,1
152,-2757.1,1
153,-2820.6,1
154,-2881.8,1
155,-2940.6,1
156,-2996.8,1
157,-3050.2,1
158,-3100.6,1
159,-3147.9,1
160,-3192,1
161,-3232.9,1
162,-3270.8,1
163,-3305.9,1
164,-3338.3,1
165,-3368.4,1
166,-3396.4,1
167,-3422.3,1
168,-3446.5,1
169,-3468.7,1
170,-3489.2,1
171,-3507.7,1
172,-3524.3,1
173,-3538.8,1
174,-3551,1
175,-3561,1
176,-3568.6,1
177,-3573.9,1
178,-3576.9,1
179,-3577.5,1
180,-3575.8,1
181,-3571.8,1
182,-3565.4,1
183,-3556.7,1
184,-3545.5,1
185,-3531.8,1
186,-3515.4,1
187,-3496.4,1
188,-3474.6,1
189,-3450.3,1
190,-3424,1
191,-3396.2,1
192,-3367.3,1
193,-3338,1
194,-3308.6,1
195,-3279.2,1
196,-3249.5,1
197,-3219.4,1
198,-3188.5,1
199,-3156.5,1
200,-3123.2,1
201,-3088.3,1
202,-3051.8,1
203,-3013.7,1
204,-2973.9,1
205,-2932.8,1
206,-2890.3,1
207,-2846.7,1
208,-2802.1,1
209,-2756.7,1
210,-2710.4,1
211,-2663.5,1
212,-2615.7,1
213,-2567.2,1
214,-2517.7,1
215,-2467.2,1
216,-2415.4,1
217,-2362.1,1
218,-2307.4,1
219,-2251.3,1
220,-2193.9,1
221,-2135.4,1
222,-2076,1
223,-2016.1,1
224,-1955.8,1
225,-1895.4,1
226,-1835.1,1
227,-1775.2,1
228,-1715.7,1
229,-1656.7,1
230,-1598.4,1
231,-1540.6,1
232,-1483.4,1
233,-1426.6,1
234,-1370.1,1
235,-1313.6,1
236,-1257.2,1
237,-1200.5,1
238,-1143.5,1
239,-1086.2,1
240,-1028.4,1
241,-970.29,1
242,-911.83,1
243,-853.1,1
244,-794.18,1
245,-735.18,1
246,-676.17,1
247,-617.24,1
248,-558.47,1
249,-499.9,1
250,-441.58,1
251,-383.54,1
252,-325.79,1
253,-268.35,1
254,-211.22,1
255,-154.41,1
256,-97.933,1
257,-41.807,1
258,13.946,1
259,69.299,1
260,124.22,1
261,178.68,1
262,232.64,1
263,286.07,1
264,338.93,1
265,391.21,1
266,442.86,1
267,493.88,1
268,544.24,1
269,593.95,1
270,643.06,1
271,691.64,1
272,739.81,1
273,787.64,1
274,835.19,1
275,882.52,1
276,929.61,1
277,976.34,1
278,1022.5,1
279,1067.8,1
280,1112,1
281,1154.9,1
282,1196.2,1
283,1235.9,1
284,1274.2,1
285,1311,1
286,1346.8,1
287,1381.5,1
288,1415.5,1
289,1448.9,1
290,1481.7,1
291,1514,1
292,1545.6,1
293,1576.6,1
294,1606.7,1
295,1635.9,1
296,1664,1
297,1690.8,1
298,1716.2,1
299,1740.3,1
300,1763.2,1
301,1785,1
302,1805.8,1
303,1825.8,1
304,1844.8,1
305,1863,1
306,1880.2,1
307,1896.3,1
